Object_Name,X,Y,Z
Curve,0.9241,-0.0228,0.1649
Curve,0.9133,-0.0228,0.1671
Curve,0.9027,-0.0228,0.1695
Curve,0.892,-0.0228,0.172
Curve,0.8814,-0.0228,0.1747
Curve,0.8709,-0.0228,0.1775
Curve,0.8604,-0.0228,0.1804
Curve,0.85,-0.0228,0.1834
Curve,0.8396,-0.0228,0.1866
Curve,0.8293,-0.0228,0.1899
Curve,0.8191,-0.0228,0.1933
Curve,0.8089,-0.0228,0.1968
Curve,0.7987,-0.0228,0.2004
Curve,0.7886,-0.0228,0.2042
Curve,0.7786,-0.0228,0.2081
Curve,0.7686,-0.0228,0.2121
Curve,0.7587,-0.0228,0.2162
Curve,0.7489,-0.0228,0.2205
Curve,0.7391,-0.0228,0.2248
Curve,0.7294,-0.0228,0.2293
Curve,0.7197,-0.0228,0.2339
Curve,0.7101,-0.0228,0.2386
Curve,0.7006,-0.0228,0.2434
Curve,0.6911,-0.0228,0.2483
Curve,0.6817,-0.0228,0.2533
Curve,0.6724,-0.0228,0.2585
Curve,0.6631,-0.0228,0.2637
Curve,0.6539,-0.0228,0.2691
Curve,0.6448,-0.0228,0.2745
Curve,0.6358,-0.0228,0.2801
Curve,0.6268,-0.0228,0.2858
Curve,0.6179,-0.0228,0.2916
Curve,0.6091,-0.0228,0.2975
Curve,0.6003,-0.0228,0.3034
Curve,0.5916,-0.0228,0.3095
Curve,0.583,-0.0228,0.3157
Curve,0.5745,-0.0228,0.322
Curve,0.5661,-0.0228,0.3284
Curve,0.5577,-0.0228,0.3349
Curve,0.5494,-0.0228,0.3415
Curve,0.5412,-0.0228,0.3482
Curve,0.5331,-0.0228,0.355
Curve,0.5251,-0.0228,0.3618
Curve,0.5171,-0.0228,0.3688
Curve,0.5093,-0.0228,0.3759
Curve,0.5015,-0.0228,0.383
Curve,0.4938,-0.0228,0.3903
Curve,0.4862,-0.0228,0.3976
Curve,0.4787,-0.0228,0.405
Curve,0.4712,-0.0228,0.4126
Curve,0.4639,-0.0228,0.4202
Curve,0.4566,-0.0228,0.4279
Curve,0.4495,-0.0228,0.4356
Curve,0.4424,-0.0228,0.4435
Curve,0.4354,-0.0228,0.4515
Curve,0.4286,-0.0228,0.4595
Curve,0.4218,-0.0228,0.4676
Curve,0.4151,-0.0228,0.4758
Curve,0.4085,-0.0228,0.4841
Curve,0.402,-0.0228,0.4924
Curve,0.3956,-0.0228,0.5009
Curve,0.3893,-0.0228,0.5094
Curve,0.3831,-0.0228,0.518
Curve,0.377,-0.0228,0.5267
Curve,0.371,-0.0228,0.5354
Curve,0.3652,-0.0228,0.5443
Curve,0.3594,-0.0228,0.5532
Curve,0.3537,-0.0228,0.5621
Curve,0.3481,-0.0228,0.5712
Curve,0.3426,-0.0228,0.5803
Curve,0.3373,-0.0228,0.5895
Curve,0.332,-0.0228,0.5987
Curve,0.3269,-0.0228,0.6081
Curve,0.3219,-0.0228,0.6174
Curve,0.3169,-0.0228,0.6269
Curve,0.3121,-0.0228,0.6364
Curve,0.3074,-0.0228,0.646
Curve,0.3028,-0.0228,0.6557
Curve,0.2984,-0.0228,0.6654
Curve,0.294,-0.0228,0.6752
