x,y,z,pen,layer
1.52547,0.60950,0,1,0
1.52585,0.60868,0,1,0
1.52613,0.60781,0,1,0
1.52630,0.60690,0,1,0
1.52636,0.60595,0,1,0
1.52630,0.60500,0,1,0
1.52613,0.60409,0,1,0
1.52585,0.60322,0,1,0
1.52547,0.60240,0,1,0
1.52500,0.60163,0,1,0
1.52445,0.60093,0,1,0
1.52382,0.60030,0,1,0
1.52312,0.59974,0,1,0
1.52235,0.59928,0,1,0
1.52153,0.59890,0,1,0
1.52066,0.59862,0,1,0
1.51975,0.59845,0,1,0
1.51880,0.59839,0,1,0
1.51785,0.59845,0,1,0
1.51694,0.59862,0,1,0
1.51607,0.59890,0,1,0
1.51525,0.59928,0,1,0
1.51448,0.59974,0,1,0
1.51378,0.60030,0,1,0
1.51315,0.60093,0,1,0
1.51260,0.60163,0,1,0
1.51213,0.60240,0,1,0
1.51175,0.60322,0,1,0
1.51147,0.60409,0,1,0
1.51130,0.60500,0,1,0
1.51124,0.60595,0,1,0
1.69831,0.80913,0,0,0
1.69837,0.81008,0,1,0
1.69854,0.81099,0,1,0
1.69882,0.81187,0,1,0
1.69920,0.81269,0,1,0
1.69967,0.81346,0,1,0
1.70023,0.81416,0,1,0
1.70086,0.81479,0,1,0
1.70156,0.81535,0,1,0
1.70233,0.81582,0,1,0
1.70316,0.81620,0,1,0
1.70403,0.81647,0,1,0
1.70494,0.81665,0,1,0
1.70589,0.81671,0,1,0
1.70685,0.81665,0,1,0
1.70776,0.81647,0,1,0
1.70863,0.81620,0,1,0
1.70946,0.81582,0,1,0
1.71023,0.81535,0,1,0
1.71093,0.81479,0,1,0
1.71156,0.81416,0,1,0
1.71212,0.81346,0,1,0
1.71259,0.81269,0,1,0
1.71297,0.81187,0,1,0
1.71324,0.81099,0,1,0
1.71342,0.81008,0,1,0
1.71348,0.80913,0,1,0
1.71342,0.80818,0,1,0
1.71324,0.80726,0,1,0
1.71297,0.80639,0,1,0
1.71259,0.80556,0,1,0
1.71212,0.80480,0,1,0
